batch	filtSizes		channels			testHigh	epoc	
32	[9, 5, 3, 3]		[512, 1024, 512, 256]		53.125	12

32	[3, 5, 3, 9]		[128, 256, 128, 64]		48.046875	78
32	[3, 5, 3, 9]		[128, 256, 128, 64]		48.046875	45
32	[3, 5, 3, 9]		[128, 256, 128, 64]		47.65625	54
32	[3, 5, 3, 9]		[128, 256, 128, 64]		44.53125	30
32	[3, 5, 3, 9]		[128, 256, 128, 64]		47.265625	110

32	[3, 5, 3, 9]		[256, 512, 256, 128]		49.21875	107
32	[3, 5, 3, 9]		[256, 512, 256, 128]		46.484375	72
32	[3, 5, 3, 9]		[256, 512, 256, 128]		43.75	3
32	[3, 5, 3, 9]		[256, 512, 256, 128]		50.0	22
32	[3, 5, 3, 9]		[256, 512, 256, 128]		52.34375	94

32	[3, 5, 3, 9]		[512, 1024, 512, 256]		48.828125	17
32	[3, 5, 3, 9]		[512, 1024, 512, 256]		50.0	108
32	[3, 5, 3, 9]		[512, 1024, 512, 256]		50.390625	45
32	[3, 5, 3, 9]		[512, 1024, 512, 256]		47.65625	32
32	[3, 5, 3, 9]		[512, 1024, 512, 256]		50.0	44

32	[8, 5, 3]		[128, 256, 128]		51.953125	77
32	[8, 5, 3]		[128, 256, 128]		48.828125	23
32	[8, 5, 3]		[128, 256, 128]		56.640625	111
32	[8, 5, 3]		[128, 256, 128]		48.4375	94
32	[8, 5, 3]		[128, 256, 128]		53.125	92

32	[3, 5, 7, 5, 3]		[1024, 512, 256, 512, 1024]	55.859375	49
32	[3, 5, 7, 5, 3]		[1024, 512, 256, 512, 1024]	59.375	78
32	[3, 5, 7, 5, 3]		[1024, 512, 256, 512, 1024]	54.296875	112
32	[3, 5, 7, 5, 3]		[1024, 512, 256, 512, 1024]	58.59375	91
32	[3, 5, 7, 5, 3]		[1024, 512, 256, 512, 1024]	55.859375	42

