
32	[8, 5, 3]		[128, 256, 128]		42.1875	53
32	[8, 5, 3]		[128, 256, 128]		41.40625	24
32	[8, 5, 3]		[128, 256, 128]		42.1875	56
32	[8, 5, 3]		[128, 256, 128]		45.3125	57
32	[8, 5, 3]		[128, 256, 128]		42.1875	7

32	[8, 5, 3]		[256, 512, 256]		41.796875	7
32	[8, 5, 3]		[256, 512, 256]		39.453125	33
32	[8, 5, 3]		[256, 512, 256]		42.96875	29
32	[8, 5, 3]		[256, 512, 256]		41.796875	37
32	[8, 5, 3]		[256, 512, 256]		41.015625	33

32	[9, 5, 3]		[128, 256, 128]		46.09375	49
32	[9, 5, 3]		[128, 256, 128]		46.09375	32
32	[9, 5, 3]		[128, 256, 128]		43.75	29
32	[9, 5, 3]		[128, 256, 128]		41.015625	81
32	[9, 5, 3]		[128, 256, 128]		40.625	42

32	[9, 5, 3]		[256, 512, 256]		42.1875	30
32	[9, 5, 3]		[256, 512, 256]		41.40625	71
32	[9, 5, 3]		[256, 512, 256]		40.625	117
32	[9, 5, 3]		[256, 512, 256]		42.1875	52
32	[9, 5, 3]		[256, 512, 256]		42.96875	70

32	[3, 5, 7, 5, 3]		[1024, 512, 256, 512, 1024]		39.0625	25
32	[3, 5, 7, 5, 3]		[1024, 512, 256, 512, 1024]		44.53125	194
32	[3, 5, 7, 5, 3]		[1024, 512, 256, 512, 1024]		44.140625	115
32	[3, 5, 7, 5, 3]		[1024, 512, 256, 512, 1024]		39.453125	110
32	[3, 5, 7, 5, 3]		[1024, 512, 256, 512, 1024]		40.625	23

32	[3, 5, 7, 5, 3]		[1024, 512, 1024, 512, 1024]		43.359375	239
32	[3, 5, 7, 5, 3]		[1024, 512, 1024, 512, 1024]		43.359375	235
32	[3, 5, 7, 5, 3]		[1024, 512, 1024, 512, 1024]		41.015625	35
32	[3, 5, 7, 5, 3]		[1024, 512, 1024, 512, 1024]		42.1875	101
32	[3, 5, 7, 5, 3]		[1024, 512, 1024, 512, 1024]		43.75	239
