batch	filtSizes		channels			testHigh	epoc	
32	[3, 5, 5, 5, 3]		[1024, 512, 256, 512, 1024]	50.0		98
32	[3, 5, 5, 5, 3]		[1024, 512, 256, 512, 1024]	53.515625	59
32	[3, 5, 5, 5, 3]		[1024, 512, 256, 512, 1024]	58.203125	65

32	[3, 5, 7, 9, 7, 5, 3]	[256, 512, 1024, 2048, 1024, 512, 256] 	54.296875 46
32	[3, 5, 7, 9, 7, 5, 3]	[256, 512, 1024, 2048, 1024, 512, 256]	57.03125  57
32	[3, 5, 7, 9, 7, 5, 3]	[256, 512, 1024, 2048, 1024, 512, 256]	51.171875 18
32	[3, 5, 7, 9, 7, 5, 3]	[256, 512, 1024, 2048, 1024, 512, 256]	52.734375 44

32	[3, 5, 7, 5, 3]		[512, 256, 128, 256, 512]		58.59375	9
32	[3, 5, 7, 5, 3]		[512, 256, 128, 256, 512]		54.6875	19
32	[3, 5, 7, 5, 3]		[512, 256, 128, 256, 512]		55.46875	5
32	[3, 5, 7, 5, 3]		[512, 256, 128, 256, 512]		56.640625	13
32	[3, 5, 7, 5, 3]		[512, 256, 128, 256, 512]		56.25	9

32	[3, 5, 7, 5, 3]		[256, 128, 64, 128, 256]		53.125	23
32	[3, 5, 7, 5, 3]		[256, 128, 64, 128, 256]		49.609375	16
32	[3, 5, 7, 5, 3]		[256, 128, 64, 128, 256]		53.515625	110
32	[3, 5, 7, 5, 3]		[256, 128, 64, 128, 256]		53.90625	9
32	[3, 5, 7, 5, 3]		[256, 128, 64, 128, 256]		55.859375	33

32	[3, 5, 7, 9, 7, 5, 3]	[1024, 512, 256, 128, 256, 512, 1024]	62.109375	13
32	[3, 5, 7, 9, 7, 5, 3]	[1024, 512, 256, 128, 256, 512, 1024]	61.71875	25
32	[3, 5, 7, 9, 7, 5, 3]	[1024, 512, 256, 128, 256, 512, 1024]	54.296875	35
32	[3, 5, 7, 9, 7, 5, 3]	[1024, 512, 256, 128, 256, 512, 1024]	58.984375	23
32	[3, 5, 7, 9, 7, 5, 3]	[1024, 512, 256, 128, 256, 512, 1024]	47.265625	53

32	[3, 5, 7, 9, 7, 5, 3]	[512, 256, 128, 64, 128, 256, 512]	46.484375	77
32	[3, 5, 7, 9, 7, 5, 3]	[512, 256, 128, 64, 128, 256, 512]	44.53125	74
32	[3, 5, 7, 9, 7, 5, 3]	[512, 256, 128, 64, 128, 256, 512]	50.0		76
32	[3, 5, 7, 9, 7, 5, 3]	[512, 256, 128, 64, 128, 256, 512]	48.828125	48
32	[3, 5, 7, 9, 7, 5, 3]	[512, 256, 128, 64, 128, 256, 512]	44.921875	45

32	[3, 3, 3]		[512, 512, 512]		41.015625	112
32	[3, 3, 3]		[512, 512, 512]		46.09375	92
32	[3, 3, 3]		[512, 512, 512]		42.1875		101
32	[3, 3, 3]		[512, 512, 512]		41.40625	109
32	[3, 3, 3]		[512, 512, 512]		39.84375	99

32	[5, 5, 5]		[512, 512, 512]		46.875		78
32	[5, 5, 5]		[512, 512, 512]		51.953125	94
32	[5, 5, 5]		[512, 512, 512]		43.75		90
32	[5, 5, 5]		[512, 512, 512]		47.265625	101
32	[5, 5, 5]		[512, 512, 512]		42.578125	108

32	[7, 7, 7]		[512, 512, 512]		47.65625	99
32	[7, 7, 7]		[512, 512, 512]		46.09375	90
32	[7, 7, 7]		[512, 512, 512]		45.3125		91
32	[7, 7, 7]		[512, 512, 512]		45.3125		98
32	[7, 7, 7]		[512, 512, 512]		47.265625	99

32	[9, 9, 9]		[512, 512, 512]		46.875		97
32	[9, 9, 9]		[512, 512, 512]		45.703125	117
32	[9, 9, 9]		[512, 512, 512]		44.140625	118
32	[9, 9, 9]		[512, 512, 512]		46.09375	108
32	[9, 9, 9]		[512, 512, 512]		41.40625	94

32	[3, 5, 7]		[512, 512, 512]		48.4375		114
32	[3, 5, 7]		[512, 512, 512]		40.234375	81
32	[3, 5, 7]		[512, 512, 512]		41.40625	119
32	[3, 5, 7]		[512, 512, 512]		50.0	93
32	[3, 5, 7]		[512, 512, 512]		50.390625	96
32	[3, 5, 7]		[512, 512, 512]		52.34375	99
32	[3, 5, 7]		[512, 512, 512]		50.78125	64
32	[3, 5, 7]		[512, 512, 512]		50.390625	108

32	[7, 5, 3]		[512, 512, 512]		49.609375	93
32	[7, 5, 3]		[512, 512, 512]		50.390625	111
32	[7, 5, 3]		[512, 512, 512]		55.859375	105
32	[7, 5, 3]		[512, 512, 512]		52.34375	110
32	[7, 5, 3]		[512, 512, 512]		52.734375	90

32	[5, 7, 9]		[512, 512, 512]		51.5625	92
32	[5, 7, 9]		[512, 512, 512]		53.125	106
32	[5, 7, 9]		[512, 512, 512]		53.125	110
32	[5, 7, 9]		[512, 512, 512]		51.171875	65
32	[5, 7, 9]		[512, 512, 512]		48.4375	95

32	[9, 7, 5]		[512, 512, 512]		53.90625	59
32	[9, 7, 5]		[512, 512, 512]		58.203125	78
32	[9, 7, 5]		[512, 512, 512]		53.515625	56
32	[9, 7, 5]		[512, 512, 512]		53.515625	104
32	[9, 7, 5]		[512, 512, 512]		51.953125	110

32	[3, 5, 7, 5, 3]		[1024, 512, 256, 512, 1024]		54.6875	59
32	[3, 5, 7, 5, 3]		[1024, 512, 256, 512, 1024]		56.640625	111
32	[3, 5, 7, 5, 3]		[1024, 512, 256, 512, 1024]		50.0	103
32	[3, 5, 7, 5, 3]		[1024, 512, 256, 512, 1024]		57.03125	105
32	[3, 5, 7, 5, 3]		[1024, 512, 256, 512, 1024]		48.046875	60

32	[3, 5, 7, 5, 3]		[1024, 512, 1024, 512, 1024]		58.203125	110
32	[3, 5, 7, 5, 3]		[1024, 512, 1024, 512, 1024]		54.6875	116
32	[3, 5, 7, 5, 3]		[1024, 512, 1024, 512, 1024]		54.6875	75
32	[3, 5, 7, 5, 3]		[1024, 512, 1024, 512, 1024]		55.078125	112
32	[3, 5, 7, 5, 3]		[1024, 512, 1024, 512, 1024]		51.953125	20

32	[3, 5, 3, 5, 3]		[1024, 512, 256, 512, 1024]		55.46875	85
32	[3, 5, 3, 5, 3]		[1024, 512, 256, 512, 1024]		53.515625	101
32	[3, 5, 3, 5, 3]		[1024, 512, 256, 512, 1024]		54.296875	96
32	[3, 5, 3, 5, 3]		[1024, 512, 256, 512, 1024]		49.609375	97
32	[3, 5, 3, 5, 3]		[1024, 512, 256, 512, 1024]		52.34375	44

32	[3, 5, 3, 5, 3]		[1024, 512, 1024, 512, 1024]		48.4375	14
32	[3, 5, 3, 5, 3]		[1024, 512, 1024, 512, 1024]		53.515625	49
32	[3, 5, 3, 5, 3]		[1024, 512, 1024, 512, 1024]		49.21875	16
32	[3, 5, 3, 5, 3]		[1024, 512, 1024, 512, 1024]		55.859375	72
32	[3, 5, 3, 5, 3]		[1024, 512, 1024, 512, 1024]		52.734375	80

32	[3, 5, 7, 5, 3]		[512, 256, 128, 256, 512]		54.6875	84
